Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
0.00468196405335485 * sinh ( -0.0069359752095990825 * x ^ 2 ^ 3 + 0.006081815946480538 * x ^ 6 + 0.007417897715722948 * x ^ 1 ) + 10,12.09573294013733,BasicAI,10,false,NaN,NaN,55960.0
0.00468196405335485 * sinh ( -0.0069359752095990825 * x ^ 2 ^ 3 + 0.006081815946480538 * x ^ 6 + 0.007417897715722948 * x ^ 1 ) + 10,12.09573294013733,NewAI,10,false,NaN,NaN,98200.0
0.00468196405335485 * sinh ( -0.0069359752095990825 * x ^ 2 ^ 3 + 0.006081815946480538 * x ^ 6 + 0.007417897715722948 * x ^ 1 ) + 10,12.09573294013733,Random,10,false,12.09573294013733,NaN,8730.0
-0.009637240404878443 * x ^ 3 * -0.004487017617183093 * y ^ 1 + 10,10.233105197960828,BasicAI,10,false,3.399305191209462,0.5871815557118962,22870.0
-0.009637240404878443 * x ^ 3 * -0.004487017617183093 * y ^ 1 + 10,10.233105197960828,NewAI,10,false,0.7137553739749154,0.5766918147107655,19260.0
-0.009637240404878443 * x ^ 3 * -0.004487017617183093 * y ^ 1 + 10,10.233105197960828,Random,10,false,10.233105197960828,10.233105197960828,5240.0
0.001794287103283856 * sqrt ( 0.008920489447977386 * y ^ 1 - -0.008983028857222592 * x ^ 2 ^ 2 + -0.003964265151564902 * x ^ 2 ) + 10,16.063275966070638,BasicAI,3,true,1.8691326444429655,0.005271532245536252,36433.333333333336
0.001794287103283856 * sqrt ( 0.008920489447977386 * y ^ 1 - -0.008983028857222592 * x ^ 2 ^ 2 + -0.003964265151564902 * x ^ 2 ) + 10,16.063275966070638,NewAI,2,true,0.6429178648731364,0.019649873303781217,16800.0
0.001794287103283856 * sqrt ( 0.008920489447977386 * y ^ 1 - -0.008983028857222592 * x ^ 2 ^ 2 + -0.003964265151564902 * x ^ 2 ) + 10,16.063275966070638,Random,10,false,8371675.8197808,5.724316721339469E7,13200.0
0.001839122171096258 * tan ( -0.005556044498272763 * y ^ 1 ^ 2 + 0.006586221758685323 * y ^ 1 ) + 10,5.877624397002663,BasicAI,3,true,1.1521940008316702,0.0038069188496820967,27266.666666666668
0.001839122171096258 * tan ( -0.005556044498272763 * y ^ 1 ^ 2 + 0.006586221758685323 * y ^ 1 ) + 10,5.877624397002663,NewAI,2,true,0.3696037805442732,0.014043506550507082,17700.0
0.001839122171096258 * tan ( -0.005556044498272763 * y ^ 1 ^ 2 + 0.006586221758685323 * y ^ 1 ) + 10,5.877624397002663,Random,10,false,5.877624397002663,5.877624397002663,6340.0
0.007083189586005991 * x ^ 2 ^ 5 + 0.007831975563708913 * sinh ( -0.0075922017527713555 * y ^ 2 ) + 10,11.504507615064322,BasicAI,10,false,NaN,NaN,9910.0
0.007083189586005991 * x ^ 2 ^ 5 + 0.007831975563708913 * sinh ( -0.0075922017527713555 * y ^ 2 ) + 10,11.504507615064322,NewAI,10,false,NaN,NaN,47640.0
0.007083189586005991 * x ^ 2 ^ 5 + 0.007831975563708913 * sinh ( -0.0075922017527713555 * y ^ 2 ) + 10,11.504507615064322,Random,10,false,NaN,NaN,8620.0
-0.002741231558824876 * y ^ 2 * 8.426604382289815E-4 * tanh ( 0.005550005675489567 * x ^ 1 ) * -0.008604875945910508 * y ^ 2 + 10,7.745970150661117,BasicAI,3,true,2.1848464152429528,0.0058576827644472446,33933.333333333336
-0.002741231558824876 * y ^ 2 * 8.426604382289815E-4 * tanh ( 0.005550005675489567 * x ^ 1 ) * -0.008604875945910508 * y ^ 2 + 10,7.745970150661117,NewAI,3,true,0.5382608984358748,0.0016735360773640186,14666.666666666666
-0.002741231558824876 * y ^ 2 * 8.426604382289815E-4 * tanh ( 0.005550005675489567 * x ^ 1 ) * -0.008604875945910508 * y ^ 2 + 10,7.745970150661117,Random,10,false,7.745970150661117,1.2007301146451875E33,9510.0
0.0033370553029109895 * tanh ( 1.0738411504924383E-4 * x ^ 1 ) + -0.006654968745257423 * x ^ 1 - 0.003972936207373026 * y ^ 1 + 10,0.7367412482992255,BasicAI,10,false,11.264713392683984,8.263873324584166,10800.0
0.0033370553029109895 * tanh ( 1.0738411504924383E-4 * x ^ 1 ) + -0.006654968745257423 * x ^ 1 - 0.003972936207373026 * y ^ 1 + 10,0.7367412482992255,NewAI,10,false,7.576437108384822,7.578224886739845,20040.0
0.0033370553029109895 * tanh ( 1.0738411504924383E-4 * x ^ 1 ) + -0.006654968745257423 * x ^ 1 - 0.003972936207373026 * y ^ 1 + 10,0.7367412482992255,Random,10,false,2.0688436827981517E7,2.508864119968542E7,8450.0
0.005506095454734428 * sin ( -0.007122910863057576 * y ^ 2 ^ 4 + -0.006808214162600423 * y ^ 2 ) + 0.005168881475553955 * y ^ 5 + 10,4.408611560219058,BasicAI,10,false,4.408611560219058,4.408611560219058,16590.0
0.005506095454734428 * sin ( -0.007122910863057576 * y ^ 2 ^ 4 + -0.006808214162600423 * y ^ 2 ) + 0.005168881475553955 * y ^ 5 + 10,4.408611560219058,NewAI,10,false,4.408611560219058,4.408611560219058,50720.0
0.005506095454734428 * sin ( -0.007122910863057576 * y ^ 2 ^ 4 + -0.006808214162600423 * y ^ 2 ) + 0.005168881475553955 * y ^ 5 + 10,4.408611560219058,Random,10,false,4.408611560219058,4.408611560219058,3270.0
